season,league,date_char,score1,score2,team1,team2
2015,Serie A,22-Aug-15,1,1,Hellas Verona,Roma
2015,Serie A,22-Aug-15,2,1,Lazio,Bologna
2015,Serie A,23-Aug-15,1,3,Empoli,Chievo Verona
2015,Serie A,23-Aug-15,2,0,Fiorentina,Milan
2015,Serie A,23-Aug-15,1,2,Frosinone,Torino
2015,Serie A,23-Aug-15,1,0,Inter Milan,Atalanta
2015,Serie A,23-Aug-15,0,1,Juventus,Udinese
2015,Serie A,23-Aug-15,1,0,Palermo,Genoa
2015,Serie A,23-Aug-15,5,2,Sampdoria,Carpi
2015,Serie A,23-Aug-15,2,1,Sassuolo,Napoli
2015,Serie A,29-Aug-15,0,1,Bologna,Sassuolo
2015,Serie A,29-Aug-15,2,1,Milan,Empoli
2015,Serie A,30-Aug-15,2,0,Atalanta,Frosinone
2015,Serie A,30-Aug-15,1,2,Carpi,Inter Milan
2015,Serie A,30-Aug-15,4,0,Chievo Verona,Lazio
2015,Serie A,30-Aug-15,2,0,Genoa,Hellas Verona
2015,Serie A,30-Aug-15,2,2,Napoli,Sampdoria
2015,Serie A,30-Aug-15,2,1,Roma,Juventus
2015,Serie A,30-Aug-15,3,1,Torino,Fiorentina
2015,Serie A,30-Aug-15,0,1,Udinese,Palermo
2015,Serie A,12-Sep-15,1,0,Fiorentina,Genoa
2015,Serie A,12-Sep-15,0,2,Frosinone,Roma
2015,Serie A,12-Sep-15,1,1,Juventus,Chievo Verona
2015,Serie A,13-Sep-15,2,2,Empoli,Napoli
2015,Serie A,13-Sep-15,2,2,Hellas Verona,Torino
2015,Serie A,13-Sep-15,1,0,Inter Milan,Milan
2015,Serie A,13-Sep-15,2,0,Lazio,Udinese
2015,Serie A,13-Sep-15,2,2,Palermo,Carpi
2015,Serie A,13-Sep-15,2,2,Sassuolo,Atalanta
2015,Serie A,14-Sep-15,2,0,Sampdoria,Bologna
2015,Serie A,19-Sep-15,3,2,Milan,Palermo
2015,Serie A,19-Sep-15,1,2,Udinese,Empoli
2015,Serie A,20-Sep-15,1,1,Atalanta,Hellas Verona
2015,Serie A,20-Sep-15,1,0,Bologna,Frosinone
2015,Serie A,20-Sep-15,0,1,Carpi,Fiorentina
2015,Serie A,20-Sep-15,0,1,Chievo Verona,Inter Milan
2015,Serie A,20-Sep-15,0,2,Genoa,Juventus
2015,Serie A,20-Sep-15,5,0,Napoli,Lazio
2015,Serie A,20-Sep-15,2,2,Roma,Sassuolo
2015,Serie A,20-Sep-15,2,0,Torino,Sampdoria
2015,Serie A,22-Sep-15,2,3,Udinese,Milan
2015,Serie A,23-Sep-15,0,0,Carpi,Napoli
2015,Serie A,23-Sep-15,1,0,Chievo Verona,Torino
2015,Serie A,23-Sep-15,2,0,Fiorentina,Bologna
2015,Serie A,23-Sep-15,1,0,Inter Milan,Hellas Verona
2015,Serie A,23-Sep-15,1,1,Juventus,Frosinone
2015,Serie A,23-Sep-15,2,0,Lazio,Genoa
2015,Serie A,23-Sep-15,0,1,Palermo,Sassuolo
2015,Serie A,23-Sep-15,2,1,Sampdoria,Roma
2015,Serie A,24-Sep-15,0,1,Empoli,Atalanta
2015,Serie A,26-Sep-15,2,1,Napoli,Juventus
2015,Serie A,26-Sep-15,5,1,Roma,Carpi
2015,Serie A,27-Sep-15,1,2,Bologna,Udinese
2015,Serie A,27-Sep-15,1,0,Genoa,Milan
2015,Serie A,27-Sep-15,1,2,Hellas Verona,Lazio
2015,Serie A,27-Sep-15,1,4,Inter Milan,Fiorentina
2015,Serie A,27-Sep-15,1,1,Sassuolo,Chievo Verona
2015,Serie A,27-Sep-15,2,1,Torino,Palermo
