date_char,team1,team2,g1,g2,manager,manager_team
9/13/1987,Parma,Cremonese,0,2,Zdenek Zeman,Parma
9/20/1987,Brescia,Parma,2,1,Zdenek Zeman,Parma
9/27/1987,Parma,Genoa,0,0,Zdenek Zeman,Parma
10/4/1987,Parma,Atalanta,2,1,Zdenek Zeman,Parma
10/11/1987,Catanzaro,Parma,3,1,Zdenek Zeman,Parma
10/18/1987,Parma,Messina,0,0,Zdenek Zeman,Parma
10/25/1987,Bologna,Parma,3,1,Zdenek Zeman,Parma
9/11/1988,Parma,Messina,1,0,Zdenek Zeman,Messina
9/18/1988,Messina,Piacenza,4,1,Zdenek Zeman,Messina
9/25/1988,Empoli,Messina,1,0,Zdenek Zeman,Messina
10/2/1988,Messina,Licata,2,1,Zdenek Zeman,Messina
10/9/1988,Genoa,Messina,0,0,Zdenek Zeman,Messina
10/16/1988,Messina,Ancona,2,3,Zdenek Zeman,Messina
10/23/1988,Messina,Cremonese,1,1,Zdenek Zeman,Messina
10/30/1988,Padova,Messina,1,0,Zdenek Zeman,Messina
11/6/1988,Messina,Cosenza,1,1,Zdenek Zeman,Messina
11/13/1988,Sambenedettese,Messina,1,1,Zdenek Zeman,Messina
11/20/1988,Messina,Monza,2,1,Zdenek Zeman,Messina
11/27/1988,Barletta,Messina,2,2,Zdenek Zeman,Messina
12/4/1988,Messina,Avellino,1,0,Zdenek Zeman,Messina
12/11/1988,Udinese,Messina,5,1,Zdenek Zeman,Messina
12/18/1988,Messina,Taranto,2,0,Zdenek Zeman,Messina
12/31/1988,Reggina,Messina,1,0,Zdenek Zeman,Messina
1/8/1989,Messina,Bari,3,0,Zdenek Zeman,Messina
1/15/1989,Catanzaro,Messina,0,0,Zdenek Zeman,Messina
1/22/1989,Messina,Brescia,0,0,Zdenek Zeman,Messina
1/29/1989,Messina,Parma,1,0,Zdenek Zeman,Messina
2/5/1989,Piacenza,Messina,1,1,Zdenek Zeman,Messina
2/12/1989,Messina,Empoli,2,0,Zdenek Zeman,Messina
2/26/1989,Licata,Messina,4,2,Zdenek Zeman,Messina
3/5/1989,Messina,Genoa,1,0,Zdenek Zeman,Messina
3/12/1989,Ancona,Messina,0,0,Zdenek Zeman,Messina
3/19/1989,Cremonese,Messina,2,0,Zdenek Zeman,Messina
3/25/1989,Messina,Padova,2,0,Zdenek Zeman,Messina
4/2/1989,Cosenza,Messina,2,1,Zdenek Zeman,Messina
4/9/1989,Messina,Sambenedettese,1,1,Zdenek Zeman,Messina
4/16/1989,Monza,Messina,1,0,Zdenek Zeman,Messina
4/23/1989,Messina,Barletta,4,1,Zdenek Zeman,Messina
5/7/1989,Avellino,Messina,1,1,Zdenek Zeman,Messina
5/14/1989,Messina,Udinese,0,0,Zdenek Zeman,Messina
5/21/1989,Taranto,Messina,3,1,Zdenek Zeman,Messina
5/28/1989,Messina,Reggina,2,1,Zdenek Zeman,Messina
8/27/1989,Avellino,Cagliari,2,0,Claudio Ranieri,Cagliari
8/27/1989,Como,Foggia,2,0,Zdenek Zeman,Foggia
9/3/1989,Cagliari,Reggina,1,0,Claudio Ranieri,Cagliari
9/3/1989,Foggia,Pisa,0,0,Zdenek Zeman,Foggia
9/10/1989,Cagliari,Cosenza,0,0,Claudio Ranieri,Cagliari
9/10/1989,Triestina,Foggia,0,3,Zdenek Zeman,Foggia
9/17/1989,Foggia,Avellino,1,2,Zdenek Zeman,Foggia
